first_name,last_name,age,children,email,job_title,home_loan,more_than_one_vehicle,fin_lit_review,savings,invest
Sheela,Pretsell,59,3,spretsell1c@shutterfly.com,Associate Professor,false,true,Seldom,25085.25,1
Gui,Llewhellin,57,3,gllewhellin1d@discovery.com,GIS Technical Architect,true,true,Often,29367.9,3
Dulcie,Coots,32,0,dcoots1e@auda.org.au,Recruiting Manager,false,true,Once,27147.19,5
Leann,Vasilkov,52,4,lvasilkov1f@ehow.com,Human Resources Manager,false,false,Monthly,26968.61,5
Sylvester,Huscroft,34,0,shuscroft1g@is.gd,Biostatistician I,true,false,Weekly,27174.17,2
Cherilynn,Insall,40,2,cinsall1h@last.fm,Design Engineer,true,true,Once,33574.61,1
Horace,Pollard,51,4,hpollard1i@dell.com,Accountant II,false,true,Seldom,19593.72,2
Maryjane,Cusick,45,3,mcusick1j@ft.com,Geologist II,true,true,Yearly,35376.27,5
Corie,Yemm,26,4,cyemm1k@princeton.edu,Executive Secretary,false,false,Never,23057.9,2
Linda,Tyson,32,2,ltyson1l@un.org,Cost Accountant,false,false,Never,26272.63,1
Oralle,Latter,34,3,olatter1m@hubpages.com,Pharmacist,true,true,Yearly,32394.59,2
Bell,Leivers,30,2,bleivers1n@rediff.com,Social Worker,true,true,Seldom,33176.09,2
Curr,Deware,58,1,cdeware1o@yellowbook.com,Administrative Officer,true,false,Yearly,29415.76,3
Sarita,Abdy,42,3,sabdy1p@china.com.cn,Software Test Engineer III,false,true,Weekly,27470.21,5
Carey,Robert,35,2,crobert1q@npr.org,Civil Engineer,true,false,Never,33981.77,2
Aaron,Ogglebie,27,3,aogglebie1r@ebay.com,Senior Cost Accountant,true,false,Monthly,30581.37,3
Khalil,Shambrooke,36,3,kshambrooke1s@bbc.co.uk,Electrical Engineer,false,true,Monthly,32222.56,3
Marjie,Moxsom,39,1,mmoxsom1t@furl.net,Senior Quality Engineer,true,false,Weekly,39766.79,2
Gilligan,Melland,39,2,gmelland1u@flavors.me,Chemical Engineer,true,false,Weekly,30696.8,2
Tallou,Keijser,51,2,tkeijser1v@bing.com,Cost Accountant,true,true,Weekly,41114.65,4
Conney,Ovanesian,64,3,covanesian1w@dagondesign.com,Senior Cost Accountant,false,false,Monthly,25110.23,3
Javier,Camies,50,4,jcamies1x@symantec.com,Software Test Engineer I,false,true,Once,42540.07,5
Perkin,Lismore,29,3,plismore1y@comsenz.com,VP Quality Control,false,false,Never,28541.6,4
Olimpia,Preddy,48,4,opreddy1z@is.gd,Senior Sales Associate,false,false,Once,37640.53,1
Raye,Cliff,59,4,rcliff20@google.co.jp,Occupational Therapist,false,true,Often,29575.9,5
Larine,St Angel,28,0,lstangel21@comsenz.com,Technical Writer,true,true,Often,38122.62,4
Kelley,Dover,63,0,kdover22@spiegel.de,Structural Engineer,false,false,Once,27094.62,4
Noelyn,Molian,58,2,nmolian23@de.vu,Health Coach III,false,false,Seldom,30001.9,3
Edgard,Raulstone,51,3,eraulstone24@flavors.me,Account Executive,true,true,Often,43567.02,2
Cly,Leuty,27,0,cleuty25@java.com,Structural Engineer,true,false,Daily,22812.53,4
Alyse,Barkas,40,2,abarkas26@histats.com,Teacher,true,false,Yearly,30195.25,4
Ginger,MacTerlagh,25,4,gmacterlagh27@apache.org,Quality Engineer,true,true,Monthly,28154.03,2
Pris,Donson,37,0,pdonson28@huffingtonpost.com,Analyst Programmer,true,false,Never,37545.55,5
Kaja,Feldmann,28,3,kfeldmann29@wsj.com,Web Developer III,false,true,Monthly,38187.81,5
Georgetta,Parres,29,3,gparres2a@barnesandnoble.com,Data Coordiator,true,false,Yearly,34068.71,2
Danni,D'Errico,56,1,dderrico2b@example.com,Web Designer I,false,true,Often,31017.72,3
Shermie,Advani,49,0,sadvani2c@paypal.com,Web Developer I,false,true,Once,32908.51,4
Modesty,Margrie,36,3,mmargrie2d@163.com,Associate Professor,true,true,Seldom,27411.65,5
Thorn,Reeves,55,0,treeves2e@wikispaces.com,Cost Accountant,false,true,Monthly,23762.37,2
Romonda,Rawstron,48,0,rrawstron2f@stumbleupon.com,Research Associate,false,false,Weekly,27377.09,2
Phylys,Huitt,29,3,phuitt2g@techcrunch.com,Social Worker,false,false,Once,26466.35,4
Shoshana,Caslett,49,1,scaslett2h@wunderground.com,Senior Quality Engineer,true,false,Monthly,32114.79,5
Dinah,Mico,37,0,dmico2i@reuters.com,Physical Therapy Assistant,true,false,Seldom,30401.2,1
Enrika,Swindley,59,3,eswindley2j@google.com.hk,Editor,true,false,Yearly,25816.06,1
Lilian,Castles,41,4,lcastles2k@forbes.com,Tax Accountant,false,true,Often,25633.16,4
Rosamund,Radage,64,2,rradage2l@cbslocal.com,Professor,false,true,Weekly,21397.3,1
Rockey,Stables,33,1,rstables2m@tamu.edu,GIS Technical Architect,false,false,Weekly,37623.62,4
Herrick,Oehme,27,2,hoehme2n@columbia.edu,Financial Advisor,true,false,Often,29531.99,3
Giulio,Jagg,39,3,gjagg2o@ihg.com,Marketing Assistant,false,false,Weekly,32834.05,2
Louella,Lune,28,3,llune2p@virginia.edu,Actuary,true,true,Seldom,31567.71,3
Elke,Shewen,28,1,eshewen2q@csmonitor.com,Design Engineer,false,true,Once,34567.11,5
Van,Woollacott,42,1,vwoollacott2r@shop-pro.jp,Occupational Therapist,true,true,Monthly,23954.31,2
Dacey,Goodwyn,36,4,dgoodwyn2s@howstuffworks.com,Nuclear Power Engineer,false,false,Once,28991.95,5
Aime,Drinkwater,25,4,adrinkwater2t@google.es,Health Coach IV,true,true,Never,22745.83,2
Elspeth,Maynard,40,1,emaynard2u@over-blog.com,Research Nurse,true,true,Weekly,32066.92,3
Violet,Knowler,50,2,vknowler2v@ezinearticles.com,Marketing Assistant,false,false,Monthly,24748.3,3
Norah,Dutt,40,1,ndutt2w@blogtalkradio.com,Administrative Officer,false,true,Never,28614.81,5
Chaunce,Clayborn,56,0,cclayborn2x@cargocollective.com,Librarian,true,false,Once,19132.77,5
Felecia,Seelbach,30,2,fseelbach2y@mashable.com,Assistant Professor,false,true,Once,32814.76,3
Krystalle,MacFarlane,42,4,kmacfarlane2z@list-manage.com,Marketing Assistant,false,true,Often,30612.28,2
Georgeanne,Lukianov,38,4,glukianov30@reddit.com,Desktop Support Technician,false,true,Yearly,20904.23,4
Celestyn,England,51,1,cengland31@drupal.org,Associate Professor,false,true,Seldom,27666.41,5
Gayleen,Marthen,39,1,gmarthen32@flavors.me,Registered Nurse,true,false,Daily,22124.01,5
Marla,Mackro,41,0,mmackro33@ca.gov,Marketing Manager,false,false,Yearly,30255.06,1
Lonnie,Litherland,53,0,llitherland34@hexun.com,Staff Scientist,false,false,Never,35555.81,2
Merry,Fewster,61,3,mfewster35@fda.gov,VP Sales,false,true,Weekly,32771.54,2
Genvieve,Naish,61,0,gnaish36@aboutads.info,Senior Financial Analyst,false,true,Weekly,23638.96,4
Augusta,Alben,31,0,aalben37@cisco.com,Nurse Practicioner,false,true,Daily,25605.28,2
Cirstoforo,Copeman,59,1,ccopeman38@zimbio.com,VP Sales,false,false,Often,29559.06,1
Linnea,Rudland,41,2,lrudland39@wix.com,Safety Technician III,false,true,Often,29322.21,3
Hunfredo,Allen,37,3,hallen3a@joomla.org,Research Assistant I,false,false,Never,26293.82,2
Mandy,Jessep,36,0,mjessep3b@cargocollective.com,Community Outreach Specialist,false,true,Seldom,39136.12,5
Farris,Shekle,61,3,fshekle3c@yellowpages.com,Chief Design Engineer,true,true,Weekly,29490.3,1
Aaren,Hrihorovich,51,2,ahrihorovich3d@opera.com,Staff Accountant IV,true,false,Seldom,34929.65,5
Shannah,Haselden,33,3,shaselden3e@example.com,Systems Administrator I,true,true,Seldom,40855.38,4
Cathe,Gorbell,27,3,cgorbell3f@hibu.com,Software Engineer I,false,true,Once,30177.04,2
Eveline,Wellfare,27,3,ewellfare3g@fema.gov,VP Marketing,true,false,Once,35692.1,2
Meridel,Crosfeld,60,1,mcrosfeld3h@google.co.uk,Nurse,false,false,Daily,24506.74,5
Fowler,Benam,41,3,fbenam3i@addtoany.com,Project Manager,false,true,Often,30388.44,4
Celina,Shay,28,1,cshay3j@privacy.gov.au,Programmer Analyst II,true,true,Seldom,29903.17,4
Bette,Gorgler,56,4,bgorgler3k@ask.com,Database Administrator I,true,true,Never,25888.94,5
Cordey,Caunce,62,3,ccaunce3l@vk.com,Clinical Specialist,false,false,Seldom,33267.86,2
De,Philippou,56,1,dphilippou3m@unesco.org,Account Representative III,true,false,Seldom,24393.42,1
Sherwood,Sydry,59,2,ssydry3n@scribd.com,Community Outreach Specialist,false,false,Weekly,27903.16,5
Chad,Kalf,51,4,ckalf3o@sitemeter.com,Assistant Manager,true,false,Monthly,25849.69,3
Coraline,Geffen,47,1,cgeffen3p@deviantart.com,Occupational Therapist,true,true,Weekly,23729.1,4
Todd,Duddell,38,0,tduddell3q@ebay.co.uk,Mechanical Systems Engineer,true,true,Yearly,33058.46,1
Berkeley,Preuvost,55,0,bpreuvost3r@bloomberg.com,GIS Technical Architect,false,true,Monthly,30401.21,3
Nerty,Brisse,30,2,nbrisse3s@nhs.uk,Speech Pathologist,false,true,Once,28239.81,4
Petronia,Sowten,32,0,psowten3t@elegantthemes.com,Technical Writer,false,true,Often,25062.96,1
Niel,Munn,27,1,nmunn3u@cornell.edu,Software Engineer III,false,false,Yearly,27692.02,1
Neil,Rembaud,63,1,nrembaud3v@techcrunch.com,Statistician I,false,false,Daily,37497.48,4
Illa,Andover,26,2,iandover3w@icq.com,Media Manager III,false,false,Once,23579.02,2
Aili,Somerfield,50,4,asomerfield3x@shareasale.com,Nurse Practicioner,false,true,Once,31880.52,4
Trudy,Greene,47,2,tgreene3y@rediff.com,Speech Pathologist,true,true,Often,31154.07,3
Angel,Prestidge,41,0,aprestidge3z@businesswire.com,Paralegal,false,false,Often,33690.89,3
Isa,Birdsey,56,2,ibirdsey40@51.la,Paralegal,false,false,Once,25229.18,5
Ruddy,Tilliards,65,3,rtilliards41@miibeian.gov.cn,Registered Nurse,true,false,Seldom,28245.99,5
Ade,Oddy,29,1,aoddy42@amazon.co.uk,Data Coordiator,true,false,Daily,26388.59,2
Marten,Springate,48,1,mspringate43@usnews.com,Operator,true,true,Once,33505.73,5
Gwenore,Colliar,28,4,gcolliar44@trellian.com,Web Developer II,false,true,Monthly,25500.22,5
Marlane,Abbess,35,4,mabbess45@aboutads.info,Engineer IV,false,true,Daily,31997.57,1
Rem,Westley,53,1,rwestley46@forbes.com,Human Resources Assistant IV,true,false,Monthly,36546.21,3
Clarabelle,Minchenton,29,3,cminchenton47@nature.com,Research Associate,false,true,Weekly,28998.69,3
Georgie,Lewnden,62,4,glewnden48@meetup.com,Pharmacist,true,false,Often,32411.78,3
Brunhilde,Smorthit,58,3,bsmorthit49@ow.ly,Environmental Tech,false,true,Daily,31358.42,5
Aaren,Newland,39,4,anewland4a@furl.net,Operator,false,false,Seldom,38434.68,2
Claudette,Del Castello,52,4,cdelcastello4b@shop-pro.jp,Structural Analysis Engineer,false,true,Seldom,35198.39,4
Cris,Cheston,34,3,ccheston4c@merriam-webster.com,Senior Financial Analyst,false,true,Once,30596.06,1
Suzie,Behnecke,61,3,sbehnecke4d@uiuc.edu,Computer Systems Analyst II,false,true,Never,34318.06,4
Florencia,Gantzer,54,1,fgantzer4e@usnews.com,Analog Circuit Design manager,false,true,Once,29669.51,2
Cy,Merriton,50,4,cmerriton4f@elegantthemes.com,Analog Circuit Design manager,false,false,Yearly,27190.26,1
Carver,Duggary,29,3,cduggary4g@cargocollective.com,Business Systems Development Analyst,true,true,Never,24612.08,1
Gavra,Garrettson,30,3,ggarrettson4h@liveinternet.ru,Chemical Engineer,true,true,Often,33454.68,4
Hakeem,Twede,44,4,htwede4i@mozilla.com,Compensation Analyst,false,true,Monthly,31557.66,4
Shana,MacCartair,48,3,smaccartair4j@princeton.edu,Computer Systems Analyst III,true,true,Seldom,37583.62,5
Garrett,Munro,54,1,gmunro4k@fotki.com,Automation Specialist II,false,false,Daily,32377.0,5
Ramona,Donson,57,2,rdonson4l@mac.com,Environmental Tech,true,false,Often,27256.51,1
Ian,Gilstin,40,1,igilstin4m@eventbrite.com,Statistician III,false,false,Yearly,25939.94,3
Kennith,Peetermann,48,0,kpeetermann4n@jiathis.com,Community Outreach Specialist,false,true,Often,28451.95,5
Peta,Bradbeer,25,1,pbradbeer4o@baidu.com,Nurse Practicioner,true,false,Weekly,36863.34,2
Glennis,Houldin,31,3,ghouldin4p@ucsd.edu,Internal Auditor,true,false,Often,32398.31,3
Hans,Boxall,47,3,hboxall4q@pen.io,Sales Representative,false,false,Yearly,31280.2,4
Shurlocke,Crebo,35,2,screbo4r@g.co,Web Developer I,false,false,Weekly,33139.16,5
Israel,Killbey,54,2,ikillbey4s@issuu.com,Recruiting Manager,true,false,Monthly,19795.01,3
Stefania,Buntin,47,1,sbuntin4t@barnesandnoble.com,Geological Engineer,true,false,Never,17823.74,5
Leda,Nazaret,51,1,lnazaret4u@ask.com,VP Quality Control,false,false,Never,27020.97,2
Helen,Prinn,57,2,hprinn4v@hhs.gov,Product Engineer,false,false,Weekly,31253.06,3
Dory,Beevers,51,2,dbeevers4w@tmall.com,Graphic Designer,false,true,Monthly,30749.57,1
Eadie,Yter,32,0,eyter4x@simplemachines.org,Accounting Assistant I,true,true,Never,31229.57,2
Johnette,Cardero,37,3,jcardero4y@biblegateway.com,Biostatistician I,false,true,Monthly,31204.85,4
Lura,Macauley,41,3,lmacauley4z@vk.com,Registered Nurse,false,false,Seldom,25550.21,5
Rayner,Povlsen,40,4,rpovlsen50@mozilla.com,Graphic Designer,true,true,Daily,24146.59,5
Massimiliano,Garz,37,4,mgarz51@columbia.edu,GIS Technical Architect,true,true,Daily,25924.6,1
Lyman,Lakenden,62,4,llakenden52@eepurl.com,Human Resources Manager,false,false,Once,26340.73,5
Guy,Spark,50,2,gspark53@ihg.com,Account Coordinator,true,false,Yearly,28165.01,2
Connie,Korejs,31,1,ckorejs54@shinystat.com,Analog Circuit Design manager,false,true,Weekly,18298.29,4
Marty,MacTeggart,52,0,mmacteggart55@google.com.hk,Financial Advisor,false,true,Often,32760.13,1
Ichabod,Lydall,38,0,ilydall56@jalbum.net,Health Coach I,false,true,Daily,29002.06,2
Wayne,Noye,46,4,wnoye57@nsw.gov.au,Civil Engineer,true,true,Never,33614.43,4
Benedetto,Denecamp,65,2,bdenecamp58@geocities.com,VP Accounting,true,true,Often,25973.28,4
Odette,Carnie,52,2,ocarnie59@microsoft.com,Executive Secretary,false,true,Often,25282.53,2
Emlen,Siflet,52,3,esiflet5a@loc.gov,Research Associate,true,false,Daily,31425.92,5
Sibella,Burthom,37,1,sburthom5b@comsenz.com,Environmental Tech,false,false,Seldom,21761.12,5
Jeffie,Bottomer,60,4,jbottomer5c@newsvine.com,Quality Engineer,true,false,Monthly,32396.52,3
Morganica,Litster,52,1,mlitster5d@pcworld.com,Automation Specialist I,false,false,Often,25029.49,4
Berkeley,Sarl,41,4,bsarl5e@weibo.com,GIS Technical Architect,false,true,Never,26380.42,4
Ofelia,Ross,32,0,oross5f@feedburner.com,Accounting Assistant IV,true,true,Seldom,26195.41,5
Charlotte,Lisimore,55,3,clisimore5g@alibaba.com,Biostatistician II,true,true,Seldom,39522.45,4
Jannelle,Jankovic,26,0,jjankovic5h@mediafire.com,Senior Financial Analyst,false,false,Seldom,35737.88,3
Fredrick,Brise,56,4,fbrise5i@nbcnews.com,Help Desk Operator,false,false,Once,27118.51,4
Alejandro,O'Corhane,47,4,aocorhane5j@amazon.com,Internal Auditor,false,false,Monthly,31814.07,2
Sidnee,Sirmon,36,0,ssirmon5k@networkadvertising.org,Health Coach IV,false,true,Never,29458.51,3
Flory,Petrelluzzi,36,2,fpetrelluzzi5l@army.mil,Food Chemist,false,true,Weekly,30624.33,4
Mitch,Goding,57,3,mgoding5m@noaa.gov,Account Representative IV,false,false,Daily,39787.63,1
Stefanie,Feldman,53,2,sfeldman5n@pinterest.com,Executive Secretary,false,false,Never,32322.28,5
Aurora,Scoffins,45,1,ascoffins5o@nytimes.com,GIS Technical Architect,false,false,Yearly,29288.89,3
Jone,Tukesby,56,1,jtukesby5p@nytimes.com,Assistant Manager,true,true,Monthly,26586.19,1
Frank,Macrae,47,0,fmacrae5q@1und1.de,Account Coordinator,true,true,Often,26957.79,1
Anita,Reagan,61,0,areagan5r@latimes.com,Safety Technician I,true,false,Seldom,25045.78,5
Xerxes,Villa,25,2,xvilla5s@biglobe.ne.jp,Executive Secretary,false,false,Monthly,36763.22,3
Aloysius,Tremblet,38,2,atremblet5t@wiley.com,Cost Accountant,true,false,Often,29778.78,5
Gradeigh,Daish,49,2,gdaish5u@admin.ch,Internal Auditor,false,false,Monthly,36159.9,2
Kelsy,Spong,41,3,kspong5v@mit.edu,Staff Scientist,false,false,Yearly,22673.88,5
Arthur,Hyde-Chambers,39,4,ahydechambers5w@issuu.com,Database Administrator IV,true,false,Monthly,30752.57,3
Ortensia,Ziebart,46,2,oziebart5x@zdnet.com,Engineer IV,false,true,Never,33430.79,4
Sibeal,Wiggall,63,1,swiggall5y@vk.com,Quality Control Specialist,false,false,Once,28885.45,1
Sherline,Francesconi,62,2,sfrancesconi5z@uiuc.edu,Programmer III,false,false,Once,25107.81,5
Mallory,Stapford,54,4,mstapford60@eventbrite.com,Senior Sales Associate,false,true,Often,29849.05,4
Noel,Butcher,57,1,nbutcher61@nymag.com,Financial Analyst,false,false,Seldom,34626.66,2
Bili,Casini,44,1,bcasini62@macromedia.com,Engineer III,true,false,Never,33540.77,1
Bernette,Sincock,53,2,bsincock63@comcast.net,Budget/Accounting Analyst I,false,false,Once,29043.83,2
Mia,Lauxmann,64,1,mlauxmann64@webs.com,Business Systems Development Analyst,false,true,Yearly,33415.91,1
Chery,Wermerling,45,3,cwermerling65@cornell.edu,Clinical Specialist,true,true,Seldom,33118.11,4
Alexine,Handford,45,2,ahandford66@yellowbook.com,Electrical Engineer,false,true,Weekly,34512.93,5
Chen,Cornbell,34,2,ccornbell67@de.vu,Associate Professor,false,false,Weekly,21013.91,4
Vlad,Duggon,54,2,vduggon68@virginia.edu,Budget/Accounting Analyst II,false,false,Never,29129.23,4
Frasquito,McKaile,63,3,fmckaile69@netlog.com,Pharmacist,false,false,Seldom,32825.3,1
Juliane,Reeder,52,3,jreeder6a@hexun.com,Account Coordinator,true,false,Never,23754.95,2
Ericha,Bensen,49,3,ebensen6b@icq.com,Internal Auditor,false,true,Monthly,28454.41,2
Dana,Jakucewicz,45,3,djakucewicz6c@cargocollective.com,Geological Engineer,true,true,Never,31295.71,5
Aldric,Tiernan,33,4,atiernan6d@ow.ly,Nurse Practicioner,false,false,Yearly,42047.64,4
Fancy,Hancke,45,2,fhancke6e@imgur.com,Senior Quality Engineer,true,false,Yearly,25625.47,3
Laureen,Weymouth,30,4,lweymouth6f@altervista.org,Desktop Support Technician,true,true,Yearly,27108.41,2
Con,Wettern,36,3,cwettern6g@yahoo.co.jp,Account Coordinator,false,true,Yearly,30811.24,1
Ezri,Makin,27,0,emakin6h@vistaprint.com,VP Sales,false,false,Often,31279.1,5
Orelia,Dumsday,32,3,odumsday6i@multiply.com,Clinical Specialist,true,false,Weekly,30685.39,5
Jemmie,Lockett,41,1,jlockett6j@jigsy.com,Office Assistant II,false,true,Yearly,24313.97,1
Gwendolen,Volke,38,4,gvolke6k@networksolutions.com,Office Assistant II,false,true,Yearly,32021.48,1
Fawnia,Hourston,41,3,fhourston6l@spotify.com,Tax Accountant,false,false,Seldom,28534.27,5
Lyn,Gotfrey,39,1,lgotfrey6m@google.com.br,Environmental Specialist,false,true,Often,33397.36,3
Hamil,Inkle,26,2,hinkle6n@examiner.com,Dental Hygienist,true,true,Daily,29219.19,1
Ariana,Dobbson,27,3,adobbson6o@privacy.gov.au,Project Manager,false,false,Often,31566.59,5
Reeba,Stallibrass,31,1,rstallibrass6p@constantcontact.com,Administrative Assistant III,true,false,Once,25392.63,2
Joseph,Monelle,32,0,jmonelle6q@prnewswire.com,Account Executive,true,true,Often,24246.83,5
Sonnie,Nolder,42,1,snolder6r@goo.ne.jp,Paralegal,true,false,Once,32891.58,4
Daron,Dayes,59,3,ddayes6s@nih.gov,Project Manager,false,true,Seldom,22704.19,4
Bealle,Elsworth,54,1,belsworth6t@istockphoto.com,Financial Advisor,true,true,Once,28649.87,5
Jocko,McAulay,34,3,jmcaulay6u@jugem.jp,Graphic Designer,true,false,Monthly,19722.42,2
Diana,Bratt,28,3,dbratt6v@google.ru,Media Manager II,true,true,Often,36951.94,4
Demetris,Linster,58,2,dlinster6w@blogtalkradio.com,Staff Accountant III,true,true,Often,26360.96,3
Elvira,Suscens,64,2,esuscens6x@so-net.ne.jp,Computer Systems Analyst III,false,false,Daily,35293.34,1
Konstantine,MacMenamy,27,1,kmacmenamy6y@diigo.com,Legal Assistant,true,false,Yearly,27772.19,2
Dyann,McCarney,46,3,dmccarney6z@dropbox.com,Structural Analysis Engineer,false,false,Often,27295.07,4
Deb,Dewan,38,3,ddewan70@cdc.gov,Social Worker,true,false,Seldom,29177.2,5
Jaimie,Middlemiss,50,3,jmiddlemiss71@upenn.edu,Account Coordinator,false,false,Yearly,32311.13,1
Sax,Elnor,42,3,selnor72@toplist.cz,Environmental Tech,false,false,Monthly,29811.44,1
Andy,Ewings,56,1,aewings73@hibu.com,Marketing Manager,true,true,Daily,24580.6,3
Saleem,Kornel,52,1,skornel74@stumbleupon.com,VP Sales,false,true,Seldom,34565.02,2
Simone,Stennes,43,1,sstennes75@examiner.com,Paralegal,true,false,Weekly,31706.2,2
Thacher,Atwater,25,1,tatwater76@vinaora.com,Software Test Engineer I,false,false,Once,25553.15,1
Alvinia,Warder,43,3,awarder77@live.com,Associate Professor,false,true,Daily,26779.44,1
Lucais,Learoid,57,1,llearoid78@ft.com,Human Resources Assistant II,false,false,Never,30072.66,5
Valeria,Pullar,60,3,vpullar79@seattletimes.com,Librarian,false,true,Often,36609.63,1
Serene,Basilotta,43,0,sbasilotta7a@usgs.gov,Systems Administrator I,false,false,Daily,31228.01,1
Eada,Mehmet,35,0,emehmet7b@miitbeian.gov.cn,Administrative Assistant II,false,false,Often,26755.84,4
Kala,Hearsey,38,0,khearsey7c@merriam-webster.com,Cost Accountant,false,true,Once,23935.95,2
Guthrie,Merington,44,1,gmerington7d@seattletimes.com,Occupational Therapist,true,true,Daily,30754.05,1
Anthe,Stoad,29,4,astoad7e@godaddy.com,Desktop Support Technician,true,false,Seldom,23928.55,3
Tristan,Granleese,52,0,tgranleese7f@prlog.org,Community Outreach Specialist,false,true,Weekly,33845.56,4
Skipton,Timby,25,1,stimby7g@clickbank.net,Administrative Officer,false,false,Weekly,31122.72,3
